Date,Time,Inlet Pressure,Outlet Pressure,Differential Pressure,Valve Angle,Oxygen Conc,Biogas Temp
2020/5/10,00:03:39,1,0,1,0,0,40
2020/5/10,00:13:39,1,0,1,0,0,40
2020/5/10,00:23:39,1,0,1,0,0,40
2020/5/10,00:33:39,1,0,1,0,0,40
2020/5/10,00:43:39,1,0,1,0,0,40
2020/5/10,00:53:39,1,0,1,0,0,40
2020/5/10,01:03:39,1,0,1,0,0,40
2020/5/10,01:13:39,1,0,1,0,0,40
2020/5/10,01:23:39,1,0,1,0,0,40
2020/5/10,01:33:39,1,0,1,0,0,40
2020/5/10,01:43:39,1,0,1,0,0,40
2020/5/10,01:53:39,1,0,1,0,0,40
2020/5/10,02:03:39,1,0,1,0,0,40
2020/5/10,02:13:39,1,0,1,0,0,39
2020/5/10,02:23:39,1,0,1,0,0,40
2020/5/10,02:33:39,1,0,1,0,0,40
2020/5/10,02:43:39,1,0,1,0,0,39
2020/5/10,02:53:39,1,0,1,0,0,39
2020/5/10,03:03:39,1,0,1,0,0,40
2020/5/10,03:13:39,1,0,1,0,0,40
2020/5/10,03:23:39,1,0,1,0,0,39
2020/5/10,03:33:39,1,0,1,0,0,39
2020/5/10,03:43:39,1,0,1,0,0,40
2020/5/10,03:53:39,1,0,1,0,0,39
2020/5/10,04:03:39,1,0,1,0,0,39
2020/5/10,04:13:39,1,0,1,0,0,39
2020/5/10,04:23:39,1,0,1,0,0,39
2020/5/10,04:33:39,1,0,1,0,0,39
2020/5/10,04:43:39,1,0,1,0,0,39
2020/5/10,04:53:39,1,0,1,0,0,39
2020/5/10,05:03:39,1,0,1,0,0,39
2020/5/10,05:13:39,1,0,1,0,0,39
2020/5/10,05:23:39,1,0,1,0,0,39
2020/5/10,05:33:39,1,0,1,0,0,39
2020/5/10,05:43:39,1,0,1,0,0,39
2020/5/10,05:53:39,1,0,1,0,0,39
2020/5/10,06:03:39,1,0,1,0,0,39
2020/5/10,06:13:39,1,0,1,0,0,40
2020/5/10,06:23:39,1,0,1,0,0,40
2020/5/10,06:33:39,2,1,1,0,0,40
2020/5/10,06:43:39,1,0,1,0,0,40
2020/5/10,06:53:39,1,0,1,0,0,40
2020/5/10,07:03:39,2,1,1,0,0,41
2020/5/10,07:13:39,1,0,1,0,0,41
2020/5/10,07:23:39,1,1,0,0,0,42
2020/5/10,07:33:39,1,0,1,0,0,42
2020/5/10,07:43:39,1,0,1,0,0,42
2020/5/10,07:53:39,1,0,1,0,0,42
2020/5/10,08:03:39,2,0,2,0,0,42
2020/5/10,08:13:39,1,0,1,0,0,42
2020/5/10,08:23:39,2,1,1,0,0,42
2020/5/10,08:33:39,1,1,0,0,0,43
2020/5/10,08:43:39,2,1,1,0,0,43
2020/5/10,08:53:39,2,1,1,0,0,43
2020/5/10,09:03:39,2,1,1,0,0,44
2020/5/10,09:13:39,2,1,1,0,0,44
2020/5/10,09:23:39,2,1,1,0,0,44
2020/5/10,09:33:39,2,1,1,0,0,44
2020/5/10,09:43:39,2,1,1,0,0,45
2020/5/10,09:53:39,2,1,1,0,0,45
2020/5/10,10:03:39,2,1,1,0,0,45
2020/5/10,10:13:39,2,1,1,0,0,45
2020/5/10,10:23:39,2,1,1,0,0,45
2020/5/10,10:33:39,2,1,1,0,0,45
2020/5/10,10:43:39,2,1,1,0,0,45
2020/5/10,10:53:39,2,1,1,0,0,45
2020/5/10,11:03:39,2,1,1,0,0,45
2020/5/10,11:13:39,2,1,1,0,0,45
2020/5/10,11:23:39,2,1,1,0,0,45
2020/5/10,11:33:39,2,1,1,0,0,45
2020/5/10,11:43:39,2,1,1,0,0,45
2020/5/10,11:53:39,2,1,1,0,0,45
2020/5/10,12:03:39,2,1,1,0,0,45
2020/5/10,12:13:39,2,1,1,0,0,45
2020/5/10,12:23:39,2,1,1,0,0,46
2020/5/10,12:33:39,2,1,1,0,0,46
2020/5/10,12:43:39,2,1,1,0,0,46
2020/5/10,12:53:39,2,1,1,0,0,46
2020/5/10,13:03:39,2,1,1,0,0,46
2020/5/10,13:13:39,2,1,1,0,0,46
2020/5/10,13:23:39,2,1,1,0,0,46
2020/5/10,13:33:39,2,1,1,0,0,46
2020/5/10,13:43:39,2,1,1,0,0,46
2020/5/10,13:53:39,2,1,1,0,0,46
2020/5/10,14:03:39,2,1,1,0,0,46
2020/5/10,14:13:39,2,1,1,0,0,46
2020/5/10,14:23:39,2,1,1,0,0,46
2020/5/10,14:33:39,2,1,1,0,0,46
2020/5/10,14:43:39,2,1,1,0,0,46
2020/5/10,14:53:39,2,1,1,0,0,47
2020/5/10,15:03:39,2,1,1,0,0,46
2020/5/10,15:13:39,2,1,1,0,0,47
2020/5/10,15:23:39,2,1,1,0,0,46
2020/5/10,15:33:39,2,1,1,0,0,46
2020/5/10,15:43:39,2,1,1,0,0,46
2020/5/10,15:53:39,2,1,1,0,0,46
2020/5/10,16:03:39,2,1,1,0,0,46
2020/5/10,16:13:39,2,1,1,0,0,46
2020/5/10,16:23:39,2,0,2,0,0,46
2020/5/10,16:33:39,2,0,2,0,0,45
2020/5/10,16:43:39,2,0,2,0,0,45
2020/5/10,16:53:39,2,0,2,0,0,45
2020/5/10,17:03:39,2,0,2,0,0,44
2020/5/10,17:13:39,2,0,2,0,0,44
2020/5/10,17:23:39,2,0,2,0,0,43
2020/5/10,17:33:39,2,0,2,0,0,43
2020/5/10,17:43:39,1,0,1,0,0,43
2020/5/10,17:53:39,1,0,1,0,0,42
2020/5/10,18:03:39,1,0,1,0,0,42
2020/5/10,18:13:39,1,0,1,0,0,42
2020/5/10,18:23:39,1,0,1,0,0,42
2020/5/10,18:33:39,1,0,1,0,0,42
2020/5/10,18:43:39,1,0,1,0,0,42
2020/5/10,18:53:39,1,0,1,0,0,42
2020/5/10,19:03:39,1,0,1,0,0,42
2020/5/10,19:13:39,1,0,1,0,0,42
2020/5/10,19:23:39,1,0,1,0,0,41
2020/5/10,19:33:39,1,0,1,0,0,41
2020/5/10,19:43:39,1,0,1,0,0,41
2020/5/10,19:53:39,1,0,1,0,0,41
2020/5/10,20:03:39,1,0,1,0,0,41
2020/5/10,20:13:39,1,0,1,0,0,41
2020/5/10,20:23:39,1,0,1,0,0,41
2020/5/10,20:33:39,1,0,1,0,0,41
2020/5/10,20:43:39,1,0,1,0,0,41
2020/5/10,20:53:39,1,0,1,0,0,41
2020/5/10,21:03:39,1,0,1,0,0,41
2020/5/10,21:13:39,1,0,1,0,0,41
2020/5/10,21:23:39,1,0,1,0,0,41
2020/5/10,21:33:39,1,0,1,0,0,41
2020/5/10,21:43:39,1,0,1,0,0,41
2020/5/10,21:53:39,1,0,1,0,0,41
2020/5/10,22:03:39,1,0,1,0,0,41
2020/5/10,22:13:39,1,0,1,0,0,41
2020/5/10,22:23:39,1,0,1,0,0,41
2020/5/10,22:33:39,1,0,1,0,0,41
2020/5/10,22:43:39,1,0,1,0,0,41
2020/5/10,22:53:39,1,0,1,0,0,41
2020/5/10,23:03:39,1,0,1,0,0,41
2020/5/10,23:13:39,1,0,1,0,0,40
2020/5/10,23:23:39,1,0,1,0,0,40
2020/5/10,23:33:39,1,0,1,0,0,40
2020/5/10,23:43:39,2,0,2,0,0,40
2020/5/10,23:53:39,1,0,1,0,0,40
